Index,C1,C2,Color,Action,Amount,SpaceType,nextIndex,Branch
0,312,178,,Start,,Main,1,
1,375,177,,Spin-Again,,Main,2,
2,393,142,,Collect,4000,Split,3,9
3,337,136,,Pay,1000,Shortcut,4,
4,291,140,Red,Business,,Shortcut,5,
5,246,141,,Collect,12000,Shortcut,6,
6,197,134,,Pay,1000,Shortcut,20,
7,160,90,Red,PayDay,,Merge,21,
8,448,137,,Pay,2000,Main,9,
9,491,139,Red,Collect,3000,Main,10,
10,541,125,Red,Pay,5000,Main,11,
11,542,79,,Wait-Turn,,Main,12,
12,490,65,,Collect,2000,Main,13,
13,452,66,,Pay,2000,Main,14,
14,411,64,Jump,Doctor,,Main,15,20
15,370,64,Jump,Journalist,,Main,16,20
16,328,64,Jump,Lawyer,,Main,17,20
17,281,66,Jump,Teacher,,Main,18,20
18,243,66,Jump,Physicist,,Main,19,20
19,194,66,Jump,University,,Main,20,20
20,160,90,Red,PayDay,,Main,21,
21,100,79,,Collect,1000,Main,22,
22,68,108,,Collect,240000,Main,23,
23,68,149,,Pay,30000,Main,24,
24,89,195,,Collect,300000,Main,25,
25,68,232,White,Pay-Life-Insurance,10000,Main,26,
26,44,273,Jump,Go-To-Start,,Main,27,0
27,84,301,,Collect,120000,Main,28,
28,119,262,Red,PayDay,,Main,29,
29,141,226,,Pay,2000,Main,30,
30,190,184,Stop,Marriage,,Main,31,
31,244,222,,Pay,3000,Main,32,
32,227,274,,Wait-Turn,,Main,33,
33,197,313,,Pay,6000,Main,34,
34,174,348,,Pay-Car,12000,Main,35,
35,141,386,,Pay,60000,Main,36,
36,85,398,,Pay,60000,Main,37,
37,57,431,Red,PayDay,,Main,38,
38,70,484,,Pay,20000,Main,39,
39,114,504,,Collect,96000,Main,40,
40,155,508,,Wait-Turn,,Main,41,
41,202,508,Red,Pay,40000,Main,42,
42,247,509,White,Pay-Fire-Insurance,10000,Main,43,
43,293,509,Red,PayDay,,Main,44,
44,335,506,,Lucky-Day,,Main,45,
45,378,508,,Child,,Main,46,
46,420,508,,Pay,20000,Main,47,
47,463,507,,Child,,Main,48,
48,512,506,,Collect,300000,Main,49,
49,553,507,Red,PayDay,,Main,50,
50,597,508,,Revenge,,Main,51,
51,640,509,,Twins,,Main,52,
52,687,517,Red,Taxes,,Main,53,
53,720,556,White,Pay-Stock-Insurance,50000,Main,54,
54,721,613,,Child,,Split,55,62
